Date,MZDAY_Open,MZDAY_High,MZDAY_Low,MZDAY_Close,MZDAY_Adj Close
2023-01-18,3.880000114440918,3.880000114440918,3.7699999809265137,3.7699999809265137,3.7699999809265137
2023-01-19,3.680000066757202,3.680000066757202,3.630000114440918,3.6600000858306885,3.6600000858306885
2023-01-20,3.640000104904175,3.7300000190734863,3.640000104904175,3.7100000381469727,3.7100000381469727
2023-01-23,3.700000047683716,3.7200000286102295,3.6600000858306885,3.7100000381469727,3.7100000381469727
2023-01-24,3.740000009536743,3.740000009536743,3.6700000762939453,3.7200000286102295,3.7200000286102295
2023-01-25,3.8499999046325684,3.8499999046325684,3.7799999713897705,3.8299999237060547,3.8299999237060547
2023-01-26,3.8499999046325684,3.880000114440918,3.7799999713897705,3.8299999237060547,3.8299999237060547
2023-01-27,3.859999895095825,3.9100000858306885,3.859999895095825,3.9100000858306885,3.9100000858306885
2023-01-30,3.9100000858306885,3.930000066757202,3.880000114440918,3.9100000858306885,3.9100000858306885
2023-01-31,3.990000009536743,3.990000009536743,3.950000047683716,3.950000047683716,3.950000047683716
2023-02-01,4.019999980926514,4.099999904632568,4.019999980926514,4.099999904632568,4.099999904632568
2023-02-02,3.9800000190734863,4.010000228881836,3.940000057220459,3.9800000190734863,3.9800000190734863
2023-02-03,3.950000047683716,3.950000047683716,3.890000104904175,3.9200000762939453,3.9200000762939453
2023-02-06,4.010000228881836,4.010000228881836,3.950000047683716,3.9800000190734863,3.9800000190734863
2023-02-07,3.930000066757202,4.03000020980835,3.930000066757202,4.010000228881836,4.010000228881836
2023-02-08,4.0,4.0,3.940000057220459,3.9700000286102295,3.9700000286102295
2023-02-09,4.0,4.010000228881836,3.940000057220459,3.9600000381469727,3.9600000381469727
2023-02-10,3.8499999046325684,3.9200000762939453,3.8499999046325684,3.9100000858306885,3.9100000858306885
2023-02-13,4.03000020980835,4.079999923706055,3.990000009536743,4.079999923706055,4.079999923706055
2023-02-14,4.079999923706055,4.079999923706055,4.019999980926514,4.059999942779541,4.059999942779541
2023-02-15,4.119999885559082,4.119999885559082,4.079999923706055,4.110000133514404,4.110000133514404
2023-02-16,4.210000038146973,4.239999771118164,4.170000076293945,4.230000019073486,4.230000019073486
2023-02-17,4.260000228881836,4.329999923706055,4.260000228881836,4.300000190734863,4.300000190734863
2023-02-21,4.409999847412109,4.409999847412109,4.349999904632568,4.349999904632568,4.349999904632568
2023-02-22,4.340000152587891,4.340000152587891,4.260000228881836,4.28000020980835,4.28000020980835
2023-02-23,4.25,4.320000171661377,4.25,4.320000171661377,4.320000171661377
2023-02-24,4.349999904632568,4.369999885559082,4.340000152587891,4.369999885559082,4.369999885559082
2023-02-27,4.409999847412109,4.460000038146973,4.409999847412109,4.440000057220459,4.440000057220459
2023-02-28,4.489999771118164,4.489999771118164,4.429999828338623,4.429999828338623,4.429999828338623
2023-03-01,4.519999980926514,4.570000171661377,4.519999980926514,4.539999961853027,4.539999961853027
2023-03-02,4.559999942779541,4.650000095367432,4.559999942779541,4.639999866485596,4.639999866485596
2023-03-03,4.670000076293945,4.769999980926514,4.670000076293945,4.769999980926514,4.769999980926514
2023-03-06,4.809999942779541,4.809999942779541,4.75,4.75,4.75
2023-03-07,4.800000190734863,4.840000152587891,4.699999809265137,4.71999979019165,4.71999979019165
2023-03-08,4.849999904632568,4.909999847412109,4.849999904632568,4.869999885559082,4.869999885559082
2023-03-09,4.889999866485596,4.889999866485596,4.829999923706055,4.840000152587891,4.840000152587891
2023-03-10,4.690000057220459,4.800000190734863,4.690000057220459,4.769999980926514,4.769999980926514
2023-03-13,4.5,4.570000171661377,4.46999979019165,4.489999771118164,4.489999771118164
2023-03-14,4.329999923706055,4.400000095367432,4.289999961853027,4.360000133514404,4.360000133514404
2023-03-15,4.25,4.340000152587891,4.25,4.28000020980835,4.28000020980835
2023-03-16,4.25,4.369999885559082,4.25,4.369999885559082,4.369999885559082
2023-03-17,4.170000076293945,4.239999771118164,4.170000076293945,4.210000038146973,4.210000038146973
2023-03-20,4.300000190734863,4.300000190734863,4.210000038146973,4.28000020980835,4.28000020980835
2023-03-21,4.230000019073486,4.309999942779541,4.230000019073486,4.300000190734863,4.300000190734863
2023-03-22,4.340000152587891,4.369999885559082,4.289999961853027,4.309999942779541,4.309999942779541
2023-03-23,4.349999904632568,4.380000114440918,4.309999942779541,4.340000152587891,4.340000152587891
2023-03-24,4.329999923706055,4.329999923706055,4.289999961853027,4.300000190734863,4.300000190734863
2023-03-27,4.340000152587891,4.369999885559082,4.309999942779541,4.360000133514404,4.360000133514404
2023-03-28,4.360000133514404,4.449999809265137,4.360000133514404,4.409999847412109,4.409999847412109
2023-03-29,4.440000057220459,4.53000020980835,4.440000057220459,4.46999979019165,4.46999979019165
2023-03-30,4.519999980926514,4.519999980926514,4.369999885559082,4.489999771118164,4.489999771118164
2023-03-31,4.409999847412109,4.590000152587891,4.409999847412109,4.590000152587891,4.590000152587891
2023-04-03,4.630000114440918,4.630000114440918,4.559999942779541,4.579999923706055,4.579999923706055
2023-04-04,4.650000095367432,4.650000095367432,4.550000190734863,4.579999923706055,4.579999923706055
2023-04-05,4.449999809265137,4.480000019073486,4.389999866485596,4.449999809265137,4.449999809265137
2023-04-06,4.380000114440918,4.380000114440918,4.239999771118164,4.269999980926514,4.269999980926514
2023-04-10,4.340000152587891,4.489999771118164,4.269999980926514,4.300000190734863,4.300000190734863
2023-04-11,4.309999942779541,4.429999828338623,4.309999942779541,4.389999866485596,4.389999866485596
2023-04-12,4.440000057220459,4.460000038146973,4.400000095367432,4.420000076293945,4.420000076293945
2023-04-13,4.380000114440918,4.400000095367432,4.369999885559082,4.400000095367432,4.400000095367432
2023-04-14,4.300000190734863,4.340000152587891,4.230000019073486,4.300000190734863,4.300000190734863
2023-04-17,4.349999904632568,4.349999904632568,4.260000228881836,4.340000152587891,4.340000152587891
2023-04-18,4.349999904632568,4.429999828338623,4.349999904632568,4.420000076293945,4.420000076293945
2023-04-19,4.429999828338623,4.429999828338623,4.400000095367432,4.409999847412109,4.409999847412109
2023-04-20,4.329999923706055,4.440000057220459,4.329999923706055,4.409999847412109,4.409999847412109
2023-04-21,4.400000095367432,4.400000095367432,4.340000152587891,4.360000133514404,4.360000133514404
2023-04-24,4.329999923706055,4.389999866485596,4.329999923706055,4.389999866485596,4.389999866485596
