Date,PII_Open,PII_High,PII_Low,PII_Close,PII_Adj Close
2023-01-18,108.7699966430664,108.7699966430664,102.87999725341797,103.1500015258789,100.59815979003906
2023-01-19,102.12000274658203,102.91000366210938,101.05000305175781,102.06999969482422,99.54487609863281
2023-01-20,102.0,104.62000274658203,100.12000274658203,103.88999938964844,101.3198471069336
2023-01-23,104.02999877929688,106.44000244140625,103.86000061035156,105.8499984741211,103.23135375976562
2023-01-24,106.25,107.44999694824219,104.87000274658203,105.9000015258789,103.28012084960938
2023-01-25,104.86000061035156,106.72000122070312,104.81999969482422,106.30000305175781,103.67023468017578
2023-01-26,106.93000030517578,107.70999908447266,104.11000061035156,106.45999908447266,103.82627868652344
2023-01-27,103.61000061035156,107.23999786376953,102.6500015258789,107.18000030517578,104.52845001220703
2023-01-30,105.97000122070312,108.52999877929688,105.66999816894531,106.62000274658203,103.98231506347656
2023-01-31,111.0,114.91999816894531,108.22000122070312,114.83999633789062,111.99895477294922
2023-02-01,115.0,117.9800033569336,113.58999633789062,117.77999877929688,114.86622619628906
2023-02-02,119.41000366210938,120.7300033569336,116.30999755859375,118.7300033569336,115.79271697998047
2023-02-03,117.29000091552734,120.69999694824219,115.37999725341797,118.13999938964844,115.2173080444336
2023-02-06,117.20999908447266,118.41000366210938,115.47000122070312,116.62999725341797,113.74467468261719
2023-02-07,116.19000244140625,117.08000183105469,114.88999938964844,116.58000183105469,113.69591522216797
2023-02-08,115.69000244140625,117.83000183105469,115.11000061035156,116.9800033569336,114.08602142333984
2023-02-09,118.2699966430664,119.19999694824219,114.01000213623047,115.0,112.15499877929688
2023-02-10,114.76000213623047,116.54000091552734,114.11000061035156,115.19999694824219,112.35004425048828
2023-02-13,115.02999877929688,117.52999877929688,114.5199966430664,117.08999633789062,114.19329071044922
2023-02-14,116.0999984741211,117.91000366210938,115.55999755859375,117.55000305175781,114.64191436767578
2023-02-15,116.4800033569336,120.04000091552734,116.4800033569336,119.93000030517578,116.96302795410156
2023-02-16,118.7699966430664,121.56999969482422,118.25,119.80000305175781,116.83625793457031
2023-02-17,119.87999725341797,121.37999725341797,118.75,119.30000305175781,116.34862518310547
2023-02-21,117.58999633789062,118.87999725341797,116.18000030517578,116.45999908447266,113.5788803100586
2023-02-22,115.68000030517578,117.3499984741211,115.36000061035156,115.7699966430664,112.90594482421875
2023-02-23,116.1500015258789,116.9800033569336,114.45999908447266,115.68000030517578,112.81817626953125
2023-02-24,114.3499984741211,114.51000213623047,112.70999908447266,114.01000213623047,111.18949127197266
2023-02-27,115.0,116.5199966430664,114.69000244140625,114.79000091552734,111.9501953125
2023-02-28,113.83000183105469,114.76000213623047,112.9000015258789,113.75,111.56767272949219
2023-03-01,113.70999908447266,115.27999877929688,113.66999816894531,113.7699966430664,111.58729553222656
2023-03-02,112.5199966430664,115.83000183105469,112.5,115.44000244140625,113.22525024414062
2023-03-03,116.20999908447266,116.62999725341797,114.5,115.73999786376953,113.51950073242188
2023-03-06,115.88999938964844,116.66999816894531,114.4000015258789,115.11000061035156,112.90158081054688
2023-03-07,114.5,117.18000030517578,114.30000305175781,117.12000274658203,114.87301635742188
2023-03-08,117.58999633789062,119.5999984741211,117.19000244140625,118.69000244140625,116.41290283203125
2023-03-09,118.77999877929688,119.08999633789062,113.80999755859375,113.83000183105469,111.64613342285156
2023-03-10,113.5,114.36000061035156,110.05999755859375,111.5199966430664,109.38045501708984
2023-03-13,109.38999938964844,112.20999908447266,107.8499984741211,110.94999694824219,108.8213882446289
2023-03-14,113.16000366210938,114.11000061035156,109.94999694824219,111.04000091552734,108.90966796875
2023-03-15,108.11000061035156,108.94000244140625,105.75,107.41999816894531,105.35911560058594
2023-03-16,107.0,109.45999908447266,106.41000366210938,109.16999816894531,107.0755386352539
2023-03-17,108.76000213623047,108.76000213623047,105.27999877929688,106.02999877929688,103.99578094482422
2023-03-20,106.9000015258789,109.02999877929688,106.12000274658203,107.51000213623047,105.44739532470703
2023-03-21,109.68000030517578,110.69000244140625,108.33000183105469,110.58000183105469,108.45848846435547
2023-03-22,111.05000305175781,111.33999633789062,106.88999938964844,106.91999816894531,104.86870574951172
2023-03-23,107.41000366210938,108.97000122070312,105.62000274658203,106.16999816894531,104.13309478759766
2023-03-24,105.41999816894531,107.44000244140625,104.0199966430664,107.12999725341797,105.07467651367188
2023-03-27,108.55000305175781,108.80999755859375,105.88999938964844,107.6500015258789,105.58470916748047
2023-03-28,108.12999725341797,109.36000061035156,106.43000030517578,107.05000305175781,104.99622344970703
2023-03-29,108.69999694824219,108.69999694824219,107.11000061035156,108.02999877929688,105.95741271972656
2023-03-30,108.98999786376953,109.81999969482422,107.5,108.31999969482422,106.24185180664062
2023-03-31,109.12999725341797,111.06999969482422,108.69000244140625,110.62999725341797,108.50753021240234
2023-04-03,110.3499984741211,111.41000366210938,109.31999969482422,111.19999694824219,109.06658935546875
2023-04-04,112.12999725341797,112.33000183105469,106.08999633789062,107.98999786376953,105.91818237304688
