Date,FUV_Open,FUV_High,FUV_Low,FUV_Close,FUV_Adj Close
2023-01-18,2.299999952316284,2.5899999141693115,2.2799999713897705,2.4800000190734863,2.4800000190734863
2023-01-19,2.390000104904175,2.4000000953674316,2.0999999046325684,2.2699999809265137,2.2699999809265137
2023-01-20,2.2200000286102295,2.2899999618530273,2.1500000953674316,2.240000009536743,2.240000009536743
2023-01-23,2.2200000286102295,2.240000009536743,2.109999895095825,2.1600000858306885,2.1600000858306885
2023-01-24,2.1600000858306885,2.1700000762939453,2.0,2.059999942779541,2.059999942779541
2023-01-25,2.0899999141693115,2.2200000286102295,1.9240000247955322,2.109999895095825,2.109999895095825
2023-01-26,2.190000057220459,2.190000057220459,2.009999990463257,2.1600000858306885,2.1600000858306885
2023-01-27,2.059999942779541,2.4800000190734863,2.059999942779541,2.2200000286102295,2.2200000286102295
2023-01-30,2.190000057220459,2.2899999618530273,2.0399999618530273,2.069999933242798,2.069999933242798
2023-01-31,2.0799999237060547,2.2300000190734863,2.0799999237060547,2.1700000762939453,2.1700000762939453
2023-02-01,2.200000047683716,2.3299999237060547,2.1500000953674316,2.259999990463257,2.259999990463257
2023-02-02,2.299999952316284,2.359999895095825,2.109999895095825,2.140000104904175,2.140000104904175
2023-02-03,2.1600000858306885,2.2899999618530273,2.0899999141693115,2.1500000953674316,2.1500000953674316
2023-02-06,2.1500000953674316,2.180000066757202,2.049999952316284,2.1600000858306885,2.1600000858306885
2023-02-07,2.1700000762939453,2.180000066757202,2.059999942779541,2.130000114440918,2.130000114440918
2023-02-08,2.0999999046325684,2.119999885559082,1.9800000190734863,1.9900000095367432,1.9900000095367432
2023-02-09,2.0,2.0480000972747803,1.88100004196167,1.9500000476837158,1.9500000476837158
2023-02-10,1.9500000476837158,2.0199999809265137,1.8899999856948853,1.9900000095367432,1.9900000095367432
2023-02-13,2.009999990463257,2.0959999561309814,2.0,2.0399999618530273,2.0399999618530273
2023-02-14,2.0199999809265137,2.0999999046325684,1.9500000476837158,2.069999933242798,2.069999933242798
2023-02-15,2.0899999141693115,2.1500000953674316,2.0399999618530273,2.0999999046325684,2.0999999046325684
2023-02-16,2.119999885559082,2.119999885559082,1.9500000476837158,1.9900000095367432,1.9900000095367432
2023-02-17,1.9900000095367432,1.9900000095367432,1.909999966621399,1.9600000381469727,1.9600000381469727
2023-02-21,1.9600000381469727,1.9700000286102295,1.840000033378601,1.8600000143051147,1.8600000143051147
2023-02-22,1.909999966621399,1.9500000476837158,1.7999999523162842,1.9500000476837158,1.9500000476837158
2023-02-23,1.9700000286102295,1.9700000286102295,1.7999999523162842,1.8600000143051147,1.8600000143051147
2023-02-24,1.840000033378601,1.840000033378601,1.6660000085830688,1.7100000381469727,1.7100000381469727
2023-02-27,1.7599999904632568,1.7699999809265137,1.6799999475479126,1.7100000381469727,1.7100000381469727
2023-02-28,1.7100000381469727,1.7699999809265137,1.6820000410079956,1.7599999904632568,1.7599999904632568
2023-03-01,1.7599999904632568,1.7699999809265137,1.7100000381469727,1.7300000190734863,1.7300000190734863
2023-03-02,1.7300000190734863,1.7400000095367432,1.6799999475479126,1.7200000286102295,1.7200000286102295
