Date,HYZN_Open,HYZN_High,HYZN_Low,HYZN_Close,HYZN_Adj Close
2023-01-18,2.009999990463257,2.2090001106262207,2.009999990463257,2.119999885559082,2.119999885559082
2023-01-19,2.049999952316284,2.069999933242798,1.909999966621399,1.940000057220459,1.940000057220459
2023-01-20,1.9900000095367432,2.0,1.871000051498413,1.9700000286102295,1.9700000286102295
2023-01-23,2.0,2.125999927520752,1.940000057220459,2.0999999046325684,2.0999999046325684
2023-01-24,2.130000114440918,2.1500000953674316,2.0199999809265137,2.069999933242798,2.069999933242798
2023-01-25,1.9900000095367432,2.0,1.7999999523162842,1.940000057220459,1.940000057220459
2023-01-26,1.940000057220459,2.059999942779541,1.940000057220459,2.0399999618530273,2.0399999618530273
2023-01-27,1.9900000095367432,2.190000057220459,1.9700000286102295,2.1700000762939453,2.1700000762939453
2023-01-30,2.075000047683716,2.1600000858306885,2.009999990463257,2.0399999618530273,2.0399999618530273
2023-01-31,2.059999942779541,2.1500000953674316,2.049999952316284,2.130000114440918,2.130000114440918
2023-02-01,2.140000104904175,2.1600000858306885,2.005000114440918,2.130000114440918,2.130000114440918
2023-02-02,2.1500000953674316,2.2899999618530273,2.140000104904175,2.2200000286102295,2.2200000286102295
2023-02-03,2.180000066757202,2.3499999046325684,2.1700000762939453,2.2300000190734863,2.2300000190734863
2023-02-06,2.174999952316284,2.2699999809265137,2.130000114440918,2.1600000858306885,2.1600000858306885
2023-02-07,2.180000066757202,2.180000066757202,2.065000057220459,2.1500000953674316,2.1500000953674316
2023-02-08,2.140000104904175,2.140000104904175,2.0299999713897705,2.049999952316284,2.049999952316284
2023-02-09,2.109999895095825,2.134999990463257,1.7599999904632568,1.7999999523162842,1.7999999523162842
2023-02-10,1.6799999475479126,1.6799999475479126,1.25,1.5499999523162842,1.5499999523162842
2023-02-13,1.409999966621399,1.5199999809265137,1.402999997138977,1.5099999904632568,1.5099999904632568
2023-02-14,1.4500000476837158,1.590000033378601,1.4500000476837158,1.5,1.5
2023-02-15,1.5,1.5,1.3600000143051147,1.3700000047683716,1.3700000047683716
2023-02-16,1.350000023841858,1.5199999809265137,1.350000023841858,1.4199999570846558,1.4199999570846558
2023-02-17,1.4500000476837158,1.4500000476837158,1.3700000047683716,1.409999966621399,1.409999966621399
2023-02-21,1.3700000047683716,1.375,1.2899999618530273,1.2899999618530273,1.2899999618530273
2023-02-22,1.25,1.350000023841858,1.25,1.2899999618530273,1.2899999618530273
2023-02-23,1.309999942779541,1.4179999828338623,1.2999999523162842,1.3899999856948853,1.3899999856948853
2023-02-24,1.350000023841858,1.3799999952316284,1.3200000524520874,1.340000033378601,1.340000033378601
