Date,GWLLY_Open,GWLLY_High,GWLLY_Low,GWLLY_Close,GWLLY_Adj Close
2023-01-18,13.75,13.75,13.75,13.75,13.221805572509766
2023-01-19,13.539999961853027,13.539999961853027,13.539999961853027,13.539999961853027,13.019872665405273
2023-01-20,13.539999961853027,13.539999961853027,13.539999961853027,13.539999961853027,13.019872665405273
2023-01-23,13.9399995803833,13.954999923706055,13.925000190734863,13.954999923706055,13.418931007385254
2023-01-24,14.020000457763672,14.029999732971191,14.020000457763672,14.029999732971191,13.491049766540527
2023-01-25,14.029999732971191,14.029999732971191,14.029999732971191,14.029999732971191,13.491049766540527
2023-01-26,14.949999809265137,14.949999809265137,14.949999809265137,14.949999809265137,14.37570858001709
2023-01-27,15.029999732971191,15.100000381469727,14.930000305175781,15.100000381469727,14.519947052001953
2023-01-30,15.100000381469727,15.100000381469727,15.100000381469727,15.100000381469727,14.519947052001953
2023-01-31,14.09000015258789,14.130000114440918,14.024999618530273,14.024999618530273,13.486241340637207
2023-02-01,14.774999618530273,14.774999618530273,14.520000457763672,14.520000457763672,13.962227821350098
2023-02-02,14.670000076293945,14.6899995803833,14.359999656677246,14.359999656677246,13.808372497558594
2023-02-03,14.850000381469727,14.850000381469727,14.729999542236328,14.729999542236328,14.164159774780273
2023-02-06,13.755000114440918,13.869999885559082,13.720000267028809,13.8100004196167,13.279500961303711
2023-02-07,13.800000190734863,13.800000190734863,13.800000190734863,13.800000190734863,13.269885063171387
2023-02-08,13.800000190734863,13.800000190734863,13.800000190734863,13.800000190734863,13.269885063171387
2023-02-09,13.75,13.75,13.75,13.75,13.221805572509766
2023-02-10,13.199999809265137,13.25,13.199999809265137,13.199999809265137,12.692933082580566
2023-02-13,13.930000305175781,13.930000305175781,13.930000305175781,13.930000305175781,13.394891738891602
2023-02-14,14.149999618530273,14.149999618530273,14.149999618530273,14.149999618530273,13.606439590454102
2023-02-15,14.149999618530273,14.149999618530273,14.149999618530273,14.149999618530273,13.606439590454102
2023-02-16,14.600000381469727,14.600000381469727,14.600000381469727,14.600000381469727,14.039154052734375
2023-02-17,14.600000381469727,14.600000381469727,14.600000381469727,14.600000381469727,14.039154052734375
2023-02-21,14.600000381469727,14.600000381469727,14.600000381469727,14.600000381469727,14.039154052734375
2023-02-22,15.220000267028809,15.220000267028809,15.109999656677246,15.109999656677246,14.529561996459961
2023-02-23,15.789999961853027,15.789999961853027,15.789999961853027,15.789999961853027,15.183441162109375
2023-02-24,14.430000305175781,14.430000305175781,14.430000305175781,14.430000305175781,13.87568473815918
2023-02-27,14.329999923706055,14.329999923706055,14.329999923706055,14.329999923706055,13.779525756835938
2023-02-28,14.329999923706055,14.329999923706055,14.329999923706055,14.329999923706055,13.779525756835938
2023-03-01,13.729999542236328,13.729999542236328,13.729999542236328,13.729999542236328,13.202573776245117
2023-03-02,13.449999809265137,13.449999809265137,13.449999809265137,13.449999809265137,12.933329582214355
2023-03-03,13.520000457763672,13.520000457763672,13.510000228881836,13.510000228881836,12.991025924682617
2023-03-06,13.510000228881836,13.510000228881836,13.510000228881836,13.510000228881836,12.991025924682617
2023-03-07,13.510000228881836,13.510000228881836,13.510000228881836,13.510000228881836,12.991025924682617
2023-03-08,13.100000381469727,13.100000381469727,13.039999961853027,13.039999961853027,12.539079666137695
2023-03-09,12.5,12.5,12.5,12.5,12.01982307434082
2023-03-10,12.5,12.5,12.5,12.5,12.01982307434082
2023-03-13,11.130000114440918,11.130000114440918,10.9399995803833,11.100000381469727,10.673604011535645
2023-03-14,10.710000038146973,10.710000038146973,10.593999862670898,10.593999862670898,10.187040328979492
