Date,MAHMF_Open,MAHMF_High,MAHMF_Low,MAHMF_Close,MAHMF_Adj Close
2023-01-18,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,16.103757858276367
2023-01-19,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,16.103757858276367
2023-01-20,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,16.103757858276367
2023-01-23,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,16.103757858276367
2023-01-24,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,16.103757858276367
2023-01-25,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,16.103757858276367
2023-01-26,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,16.103757858276367
2023-01-27,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,16.103757858276367
2023-01-30,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,16.103757858276367
2023-01-31,16.700000762939453,16.75,16.700000762939453,16.75,16.548341751098633
2023-02-01,16.75,16.75,16.75,16.75,16.548341751098633
2023-02-02,16.75,16.75,16.75,16.75,16.548341751098633
2023-02-03,16.75,16.75,16.75,16.75,16.548341751098633
2023-02-06,16.75,16.75,16.75,16.75,16.548341751098633
2023-02-07,16.75,16.75,16.75,16.75,16.548341751098633
2023-02-08,16.75,16.75,16.75,16.75,16.548341751098633
2023-02-09,16.75,16.75,16.75,16.75,16.548341751098633
2023-02-10,16.75,16.75,16.75,16.75,16.548341751098633
2023-02-13,16.75,16.75,16.75,16.75,16.548341751098633
2023-02-14,16.75,16.75,16.75,16.75,16.548341751098633
2023-02-15,16.75,16.75,16.75,16.75,16.548341751098633
2023-02-16,16.75,16.75,16.75,16.75,16.548341751098633
2023-02-17,16.110000610351562,16.639999389648438,16.110000610351562,16.639999389648438,16.439664840698242
2023-02-21,16.639999389648438,16.639999389648438,16.639999389648438,16.639999389648438,16.439664840698242
2023-02-22,16.639999389648438,16.639999389648438,16.639999389648438,16.639999389648438,16.439664840698242
