Date,PSNY_Open,PSNY_High,PSNY_Low,PSNY_Close,PSNY_Adj Close
2023-01-18,5.75,5.75,5.434999942779541,5.510000228881836,5.510000228881836
2023-01-19,5.420000076293945,5.492000102996826,5.300000190734863,5.420000076293945,5.420000076293945
2023-01-20,5.510000228881836,5.599999904632568,5.429999828338623,5.599999904632568,5.599999904632568
2023-01-23,5.679999828338623,5.800000190734863,5.579999923706055,5.78000020980835,5.78000020980835
2023-01-24,5.704999923706055,5.870999813079834,5.650000095367432,5.659999847412109,5.659999847412109
2023-01-25,5.539999961853027,5.739999771118164,5.421999931335449,5.690000057220459,5.690000057220459
2023-01-26,5.880000114440918,5.960000038146973,5.739999771118164,5.840000152587891,5.840000152587891
2023-01-27,5.860000133514404,6.590000152587891,5.710000038146973,6.079999923706055,6.079999923706055
2023-01-30,5.989999771118164,6.051000118255615,5.610000133514404,5.619999885559082,5.619999885559082
2023-01-31,5.679999828338623,5.789999961853027,5.570000171661377,5.599999904632568,5.599999904632568
2023-02-01,5.610000133514404,5.797999858856201,5.460000038146973,5.71999979019165,5.71999979019165
2023-02-02,5.900000095367432,6.449999809265137,5.849999904632568,6.269999980926514,6.269999980926514
2023-02-03,6.059999942779541,6.510000228881836,6.0,6.050000190734863,6.050000190734863
2023-02-06,6.050000190734863,6.070000171661377,5.860000133514404,5.929999828338623,5.929999828338623
2023-02-07,5.940000057220459,5.966000080108643,5.699999809265137,5.940000057220459,5.940000057220459
2023-02-08,5.900000095367432,5.980000019073486,5.849999904632568,5.940000057220459,5.940000057220459
2023-02-09,6.010000228881836,6.03000020980835,5.710000038146973,5.730000019073486,5.730000019073486
2023-02-10,5.739999771118164,5.739999771118164,5.550000190734863,5.619999885559082,5.619999885559082
2023-02-13,5.650000095367432,5.670000076293945,5.46999979019165,5.670000076293945,5.670000076293945
2023-02-14,5.619999885559082,5.730000019073486,5.46999979019165,5.590000152587891,5.590000152587891
2023-02-15,5.5,5.635000228881836,5.329999923706055,5.599999904632568,5.599999904632568
2023-02-16,5.5,5.519999980926514,5.329999923706055,5.380000114440918,5.380000114440918
2023-02-17,5.360000133514404,5.440000057220459,5.199999809265137,5.380000114440918,5.380000114440918
2023-02-21,5.349999904632568,5.357999801635742,5.150000095367432,5.159999847412109,5.159999847412109
2023-02-22,5.170000076293945,5.269999980926514,5.099999904632568,5.260000228881836,5.260000228881836
2023-02-23,5.349999904632568,5.349999904632568,5.144999980926514,5.260000228881836,5.260000228881836
2023-02-24,5.099999904632568,5.110000133514404,4.829999923706055,4.909999847412109,4.909999847412109
2023-02-27,5.03000020980835,5.300000190734863,4.940000057220459,5.289999961853027,5.289999961853027
2023-02-28,5.349999904632568,5.389999866485596,5.199999809265137,5.320000171661377,5.320000171661377
2023-03-01,5.429999828338623,5.429999828338623,4.934999942779541,5.050000190734863,5.050000190734863
2023-03-02,5.400000095367432,5.619999885559082,5.050000190734863,5.349999904632568,5.349999904632568
