Date,HYMTF_Open,HYMTF_High,HYMTF_Low,HYMTF_Close,HYMTF_Adj Close
2023-01-18,32.439998626708984,33.31999969482422,32.09000015258789,33.0,33.0
2023-01-19,32.4900016784668,32.88999938964844,32.4900016784668,32.88999938964844,32.88999938964844
2023-01-20,33.84000015258789,33.84000015258789,33.84000015258789,33.84000015258789,33.84000015258789
2023-01-23,33.29999923706055,33.29999923706055,32.400001525878906,33.2400016784668,33.2400016784668
2023-01-24,33.54999923706055,33.630001068115234,32.880001068115234,33.630001068115234,33.630001068115234
2023-01-25,32.84000015258789,32.84000015258789,32.08000183105469,32.20000076293945,32.20000076293945
2023-01-26,32.61000061035156,33.970001220703125,32.61000061035156,33.29999923706055,33.29999923706055
2023-01-27,34.0,34.5,33.7400016784668,34.5,34.5
2023-01-30,35.0,35.720001220703125,35.0,35.29999923706055,35.29999923706055
2023-01-31,35.16999816894531,35.16999816894531,34.75,34.75,34.75
2023-02-01,35.150001525878906,35.5,34.70000076293945,35.5,35.5
2023-02-02,35.79999923706055,36.0,35.79999923706055,35.900001525878906,35.900001525878906
2023-02-03,36.380001068115234,36.52000045776367,36.060001373291016,36.09000015258789,36.09000015258789
2023-02-06,34.650001525878906,35.369998931884766,34.560001373291016,35.25,35.25
2023-02-07,34.9900016784668,35.33000183105469,34.119998931884766,35.33000183105469,35.33000183105469
2023-02-08,35.33000183105469,35.33000183105469,35.33000183105469,35.33000183105469,35.33000183105469
2023-02-09,35.619998931884766,35.93000030517578,35.619998931884766,35.93000030517578,35.93000030517578
2023-02-10,35.5099983215332,35.849998474121094,35.0,35.0,35.0
2023-02-13,34.9900016784668,36.08000183105469,34.9900016784668,36.08000183105469,36.08000183105469
2023-02-14,34.939998626708984,36.0,34.939998626708984,35.0,35.0
2023-02-15,36.130001068115234,36.130001068115234,34.65999984741211,35.31999969482422,35.31999969482422
2023-02-16,35.58000183105469,35.58000183105469,35.58000183105469,35.58000183105469,35.58000183105469
2023-02-17,35.58000183105469,36.43000030517578,35.58000183105469,36.43000030517578,36.43000030517578
2023-02-21,36.380001068115234,36.380001068115234,35.0,35.619998931884766,35.619998931884766
2023-02-22,34.5,34.5,34.2599983215332,34.2599983215332,34.2599983215332
2023-02-23,35.13999938964844,35.849998474121094,35.13999938964844,35.209999084472656,35.209999084472656
2023-02-24,35.56999969482422,35.56999969482422,34.959999084472656,34.959999084472656,34.959999084472656
2023-02-27,34.959999084472656,34.959999084472656,34.70000076293945,34.75,34.75
2023-02-28,35.5099983215332,35.5099983215332,35.5,35.5099983215332,35.5099983215332
2023-03-01,35.779998779296875,35.779998779296875,35.15999984741211,35.779998779296875,35.779998779296875
2023-03-02,35.22999954223633,35.97999954223633,35.22999954223633,35.97999954223633,35.97999954223633
2023-03-03,35.47999954223633,35.47999954223633,35.47999954223633,35.47999954223633,35.47999954223633
2023-03-06,36.27000045776367,36.47999954223633,35.2400016784668,36.47999954223633,36.47999954223633
2023-03-07,36.45000076293945,36.45000076293945,36.0,36.45000076293945,36.45000076293945
2023-03-08,36.130001068115234,36.130001068115234,35.20000076293945,35.20000076293945,35.20000076293945
2023-03-09,34.54999923706055,35.709999084472656,34.54999923706055,35.31999969482422,35.31999969482422
2023-03-10,35.29999923706055,35.790000915527344,34.689998626708984,35.7400016784668,35.7400016784668
2023-03-13,35.529998779296875,35.529998779296875,34.0099983215332,34.5,34.5
2023-03-14,35.349998474121094,35.349998474121094,34.79999923706055,34.79999923706055,34.79999923706055
2023-03-15,34.79999923706055,34.79999923706055,34.79999923706055,34.79999923706055,34.79999923706055
2023-03-16,34.779998779296875,34.790000915527344,34.34000015258789,34.790000915527344,34.790000915527344
2023-03-17,34.560001373291016,34.560001373291016,34.0,34.0,34.0
2023-03-20,34.0,34.0,34.0,34.0,34.0
