Date,EVTV_Open,EVTV_High,EVTV_Low,EVTV_Close,EVTV_Adj Close
2023-01-18,2.7300000190734863,2.7300000190734863,2.561000108718872,2.7160000801086426,2.7160000801086426
2023-01-19,2.799999952316284,2.799999952316284,2.509999990463257,2.559999942779541,2.559999942779541
2023-01-20,2.559999942779541,2.5999999046325684,2.5299999713897705,2.5899999141693115,2.5899999141693115
2023-01-23,2.700000047683716,3.2799999713897705,2.700000047683716,3.259999990463257,3.259999990463257
2023-01-24,3.2699999809265137,3.4000000953674316,3.2200000286102295,3.4000000953674316,3.4000000953674316
2023-01-25,3.4000000953674316,3.4000000953674316,3.2720000743865967,3.4000000953674316,3.4000000953674316
2023-01-26,3.440000057220459,3.440000057220459,3.2990000247955322,3.3299999237060547,3.3299999237060547
2023-01-27,3.369999885559082,3.4700000286102295,3.2799999713897705,3.440000057220459,3.440000057220459
2023-01-30,3.5,3.5,3.299999952316284,3.309999942779541,3.309999942779541
2023-01-31,3.440000057220459,3.619999885559082,3.299999952316284,3.4700000286102295,3.4700000286102295
2023-02-01,3.5,3.8499999046325684,3.4700000286102295,3.75,3.75
2023-02-02,3.8399999141693115,4.076000213623047,3.7899999618530273,3.8499999046325684,3.8499999046325684
2023-02-03,3.9000000953674316,4.0,3.815000057220459,3.9149999618530273,3.9149999618530273
2023-02-06,4.090000152587891,4.090000152587891,3.680999994277954,3.880000114440918,3.880000114440918
2023-02-07,3.940000057220459,3.940000057220459,3.7139999866485596,3.815000057220459,3.815000057220459
2023-02-08,3.9000000953674316,3.9000000953674316,3.619999885559082,3.7790000438690186,3.7790000438690186
2023-02-09,3.740000009536743,3.799999952316284,3.510999917984009,3.569999933242798,3.569999933242798
2023-02-10,3.5899999141693115,3.5899999141693115,3.4000000953674316,3.4630000591278076,3.4630000591278076
2023-02-13,3.5399999618530273,3.5399999618530273,3.4049999713897705,3.4049999713897705,3.4049999713897705
2023-02-14,3.4100000858306885,3.430000066757202,3.25,3.4200000762939453,3.4200000762939453
2023-02-15,3.430000066757202,3.75,3.3559999465942383,3.7300000190734863,3.7300000190734863
2023-02-16,3.7899999618530273,3.940000057220459,3.6549999713897705,3.9000000953674316,3.9000000953674316
2023-02-17,3.869999885559082,3.950000047683716,3.7899999618530273,3.819999933242798,3.819999933242798
2023-02-21,3.880000114440918,3.9000000953674316,3.5799999237060547,3.7100000381469727,3.7100000381469727
2023-02-22,3.5799999237060547,3.609999895095825,3.4200000762939453,3.4200000762939453,3.4200000762939453
2023-02-23,3.490000009536743,3.740000009536743,3.4489998817443848,3.683000087738037,3.683000087738037
2023-02-24,3.680000066757202,3.680000066757202,3.5,3.5199999809265137,3.5199999809265137
2023-02-27,3.5,3.6600000858306885,3.5,3.609999895095825,3.609999895095825
2023-02-28,3.5799999237060547,3.6500000953674316,3.5299999713897705,3.6500000953674316,3.6500000953674316
