Date,BYDDF_Open,BYDDF_High,BYDDF_Low,BYDDF_Close,BYDDF_Adj Close
2023-01-18,27.270000457763672,29.0,27.270000457763672,28.049999237060547,27.912525177001953
2023-01-19,28.049999237060547,29.149999618530273,28.049999237060547,29.079999923706055,28.937477111816406
2023-01-20,29.010000228881836,29.93000030517578,28.709999084472656,29.25,29.106643676757812
2023-01-23,28.719999313354492,29.979999542236328,28.719999313354492,29.760000228881836,29.614145278930664
2023-01-24,29.100000381469727,30.010000228881836,29.100000381469727,29.649999618530273,29.504682540893555
2023-01-25,29.010000228881836,30.0,29.0,29.65999984741211,29.51463508605957
2023-01-26,30.15999984741211,31.459999084472656,30.1299991607666,31.030000686645508,30.877920150756836
2023-01-27,31.600000381469727,32.040000915527344,31.25,31.969999313354492,31.813312530517578
2023-01-30,31.75,32.470001220703125,31.420000076293945,32.040000915527344,31.882970809936523
2023-01-31,31.6299991607666,31.770000457763672,31.299999237060547,31.739999771118164,31.584440231323242
2023-02-01,33.0,33.939998626708984,32.91999816894531,33.5,33.3358154296875
2023-02-02,33.5,33.869998931884766,33.04999923706055,33.25,33.087039947509766
2023-02-03,32.08000183105469,32.97999954223633,32.08000183105469,32.41999816894531,32.261104583740234
2023-02-06,31.190000534057617,31.360000610351562,30.649999618530273,31.280000686645508,31.12669563293457
2023-02-07,31.219999313354492,31.5,30.770000457763672,31.09000015258789,30.937625885009766
2023-02-08,31.0,31.09000015258789,30.010000228881836,30.360000610351562,30.211204528808594
2023-02-09,31.489999771118164,31.770000457763672,31.280000686645508,31.280000686645508,31.12669563293457
2023-02-10,30.219999313354492,31.219999313354492,30.219999313354492,30.360000610351562,30.211204528808594
2023-02-13,30.0,31.850000381469727,30.0,30.899999618530273,30.748558044433594
2023-02-14,30.59000015258789,30.600000381469727,30.25,30.559999465942383,30.41022300720215
2023-02-15,30.0,30.649999618530273,30.0,30.600000381469727,30.450027465820312
2023-02-16,30.110000610351562,30.290000915527344,29.75,30.110000610351562,29.96242904663086
2023-02-17,29.549999237060547,29.549999237060547,29.0,29.299999237060547,29.15639877319336
2023-02-21,29.0,29.34000015258789,28.600000381469727,28.799999237060547,28.658849716186523
2023-02-22,28.850000381469727,28.899999618530273,28.40999984741211,28.530000686645508,28.390172958374023
2023-02-23,28.520000457763672,29.760000228881836,28.100000381469727,28.239999771118164,28.101594924926758
2023-02-24,28.040000915527344,28.389999389648438,27.639999389648438,27.780000686645508,27.643850326538086
2023-02-27,27.670000076293945,27.75,27.110000610351562,27.299999237060547,27.166200637817383
2023-02-28,26.600000381469727,27.200000762939453,26.600000381469727,26.93000030517578,26.798015594482422
2023-03-01,28.239999771118164,29.0,28.200000762939453,28.309999465942383,28.17125129699707
2023-03-02,28.75,28.850000381469727,28.360000610351562,28.790000915527344,28.64889907836914
2023-03-03,28.299999237060547,29.0,28.149999618530273,29.0,28.85787010192871
2023-03-06,28.6200008392334,29.18000030517578,28.6200008392334,28.739999771118164,28.599143981933594
2023-03-07,28.1200008392334,28.940000534057617,27.8700008392334,27.8700008392334,27.733407974243164
2023-03-08,27.459999084472656,27.799999237060547,27.459999084472656,27.75,27.613996505737305
2023-03-09,27.450000762939453,27.899999618530273,27.25,27.299999237060547,27.166200637817383
2023-03-10,26.5,26.5,25.510000228881836,25.700000762939453,25.57404327392578
2023-03-13,24.549999237060547,25.43000030517578,24.540000915527344,25.040000915527344,24.917278289794922
2023-03-14,25.25,25.690000534057617,25.0,25.350000381469727,25.225759506225586
2023-03-15,25.0,25.139999389648438,24.520000457763672,25.139999389648438,25.016786575317383
2023-03-16,25.389999389648438,25.860000610351562,25.100000381469727,25.780000686645508,25.65365219116211
2023-03-17,25.760000228881836,26.139999389648438,25.610000610351562,25.700000762939453,25.57404327392578
2023-03-20,25.700000762939453,25.799999237060547,25.399999618530273,25.68000030517578,25.554141998291016
2023-03-21,25.90999984741211,26.010000228881836,25.530000686645508,25.84000015258789,25.71335792541504
2023-03-22,26.0,26.6200008392334,25.969999313354492,26.100000381469727,25.972082138061523
2023-03-23,26.940000534057617,27.190000534057617,26.489999771118164,26.6200008392334,26.489534378051758
2023-03-24,26.639999389648438,26.799999237060547,26.5,26.770000457763672,26.6387996673584
2023-03-27,26.799999237060547,26.799999237060547,26.299999237060547,26.5,26.3701229095459
2023-03-28,27.0,27.6299991607666,27.0,27.530000686645508,27.39507484436035
2023-03-29,27.3799991607666,28.700000762939453,26.75,28.15999984741211,28.02198600769043
2023-03-30,28.5,29.350000381469727,28.34000015258789,29.25,29.106643676757812
2023-03-31,29.549999237060547,29.549999237060547,29.1299991607666,29.399999618530273,29.255908966064453
