Date,Open,High,Low,Close,Adj Close,Volume
2023-10-06,8.080000,8.280000,7.650000,8.030000,8.030000,3498600
2023-10-09,7.960000,7.970000,7.230000,7.230000,7.230000,3682300
2023-10-10,7.280000,7.610000,7.010000,7.490000,7.490000,3872600
2023-10-11,7.670000,8.230000,7.480000,8.120000,8.120000,4343900
2023-10-12,8.020000,8.040000,7.620000,7.980000,7.980000,3222800
2023-10-13,7.840000,8.440000,7.780000,7.980000,7.980000,4139800
2023-10-16,7.980000,8.080000,6.300000,6.530000,6.530000,9597400
2023-10-17,6.370000,6.840000,6.240000,6.460000,6.460000,6427700
2023-10-18,6.290000,6.330000,5.810000,5.970000,5.970000,5524000
2023-10-19,5.970000,6.100000,5.610000,5.690000,5.690000,3688100
2023-10-20,5.570000,5.660000,5.250000,5.380000,5.380000,4730800
2023-10-23,5.290000,5.310000,4.650000,4.800000,4.800000,6504200
2023-10-24,4.820000,4.930000,4.640000,4.930000,4.930000,3203300
2023-10-25,4.910000,5.440000,4.590000,5.210000,5.210000,6229200
2023-10-26,5.200000,5.640000,4.950000,5.510000,5.510000,3843900
2023-10-27,5.550000,5.830000,5.240000,5.320000,5.320000,1865200
2023-10-30,5.370000,5.490000,5.200000,5.330000,5.330000,1384600
2023-10-31,5.280000,5.550000,5.242000,5.430000,5.430000,1351300
2023-11-01,5.320000,5.450000,5.005000,5.330000,5.330000,2820400
2023-11-02,5.470000,5.670000,5.315000,5.600000,5.600000,2384400
2023-11-03,5.700000,5.970000,5.610000,5.940000,5.940000,2971800
2023-11-06,6.170000,6.260000,5.640000,6.135000,6.135000,3407000
2023-11-07,6.070000,6.310000,5.780000,6.160000,6.160000,2031300
2023-11-08,6.250000,7.280000,6.140000,7.250000,7.250000,6562200
2023-11-09,7.330000,7.340000,6.260000,6.490000,6.490000,4848200
2023-11-10,6.370000,6.620000,5.770000,6.070000,6.070000,3540900
2023-11-13,6.070000,6.070000,5.750000,5.900000,5.900000,2387200
2023-11-14,6.110000,6.225000,5.890000,6.190000,6.190000,2452100
2023-11-15,6.200000,6.360000,5.980000,6.170000,6.170000,2580700
2023-11-16,6.060000,6.110000,5.610000,5.750000,5.750000,2813700
2023-11-17,5.690000,5.708000,5.300000,5.410000,5.410000,3298600
2023-11-20,5.480000,5.500000,5.330000,5.360000,5.360000,2653900
2023-11-21,5.710000,6.340000,5.540000,5.990000,5.990000,8105500
2023-11-22,6.500000,6.580000,6.140000,6.180000,6.180000,7008700
2023-11-24,6.180000,6.730000,6.180000,6.560000,6.560000,4513300
2023-11-27,6.460000,6.870000,6.100000,6.630000,6.630000,5164100
2023-11-28,6.650000,7.135000,6.551000,6.990000,6.990000,5054400
2023-11-29,7.130000,7.580000,6.910000,7.560000,7.560000,6546500
2023-11-30,8.680000,9.300000,8.270000,8.450000,8.450000,19404500
2023-12-01,8.150000,8.200000,7.590000,7.840000,7.840000,5510500
2023-12-04,7.910000,7.920000,6.960000,7.060000,7.060000,6376900
2023-12-05,7.000000,7.279000,6.780000,6.850000,6.850000,3814800
2023-12-06,6.940000,7.375000,6.870000,7.000000,7.000000,3925900
2023-12-07,6.970000,7.010000,6.750000,6.820000,6.820000,2863700
2023-12-08,6.800000,6.955000,6.680000,6.850000,6.850000,2667000
2023-12-11,7.090000,7.100000,6.600000,6.720000,6.720000,2887600
2023-12-12,6.720000,6.720000,6.370000,6.500000,6.500000,2522000
2023-12-13,6.400000,6.850000,6.400000,6.790000,6.790000,2426400
2023-12-14,6.980000,6.980000,6.700000,6.940000,6.940000,3231700
2023-12-15,7.040000,7.980000,6.803000,7.880000,7.880000,6185100
2023-12-18,7.630000,7.790000,7.400000,7.630000,7.630000,3408100
2023-12-19,7.750000,8.050000,7.510000,8.000000,8.000000,4024900
2023-12-20,7.950000,8.740000,7.800000,7.940000,7.940000,6434300
2023-12-21,8.280000,8.330000,7.720000,8.110000,8.110000,3605400
2023-12-22,8.080000,8.242000,7.800000,7.990000,7.990000,2688200
2023-12-26,8.000000,8.520000,7.980000,8.380000,8.380000,3486000
2023-12-27,8.340000,8.550000,8.150000,8.480000,8.480000,3420700
2023-12-28,8.410000,8.780000,8.400000,8.640000,8.640000,2973600
2023-12-29,8.560000,8.560000,8.080000,8.370000,8.370000,2805900
2024-01-02,8.040000,8.050000,7.000000,7.050000,7.050000,6666200
2024-01-03,7.135000,7.210000,6.835000,7.080000,7.080000,4709600
2024-01-04,7.070000,7.130000,6.900000,7.070000,7.070000,3466600
2024-01-05,7.000000,7.060000,6.900000,7.020000,7.020000,1920900
2024-01-08,7.050000,7.190000,6.750000,6.790000,6.790000,3767900
2024-01-09,6.750000,6.870000,6.410000,6.650000,6.650000,3327700
2024-01-10,6.610000,6.740000,6.430000,6.720000,6.720000,2500800
2024-01-11,6.700000,6.965000,6.560000,6.760000,6.760000,2216500
2024-01-12,6.730000,6.950000,6.530000,6.590000,6.590000,1871500
2024-01-16,6.500000,6.550000,5.920000,6.030000,6.030000,3761300
2024-01-17,5.910000,5.930000,5.570000,5.770000,5.770000,2751800
2024-01-18,5.730000,5.870000,5.500000,5.640000,5.640000,2295700
2024-01-19,5.600000,6.230000,5.530000,6.000000,6.000000,3009700
2024-01-22,6.070000,6.210000,5.750000,6.160000,6.160000,2482400
2024-01-23,6.190000,6.350000,6.090000,6.140000,6.140000,1884500
2024-01-24,6.240000,6.240000,5.900000,5.910000,5.910000,1626500
2024-01-25,5.900000,6.160000,5.900000,6.120000,6.120000,1561200
2024-01-26,6.120000,6.120000,5.930000,5.940000,5.940000,1069100
2024-01-29,6.000000,6.110000,5.800000,6.110000,6.110000,1698500
2024-01-30,6.090000,6.120000,5.950000,6.000000,6.000000,1298400
2024-01-31,5.960000,6.250000,5.920000,5.950000,5.950000,1259400
2024-02-01,6.100000,6.110000,5.900000,5.930000,5.930000,1135200
2024-02-02,5.900000,5.940000,5.550000,5.720000,5.720000,2149200
2024-02-05,5.640000,5.650000,5.230000,5.270000,5.270000,2752400
2024-02-06,5.250000,5.390000,5.240000,5.390000,5.390000,2438100
2024-02-07,5.410000,5.430000,5.275000,5.350000,5.350000,1303500
2024-02-08,5.300000,5.390000,5.270000,5.310000,5.310000,1003900
2024-02-09,5.310000,5.360000,5.210000,5.250000,5.250000,1206300
2024-02-12,5.210000,5.440000,5.199000,5.360000,5.360000,1851700
2024-02-13,5.230000,5.244000,5.090000,5.130000,5.130000,1569000
2024-02-14,5.210000,5.230000,4.900000,5.220000,5.220000,1893100
2024-02-15,5.230000,5.470000,5.221000,5.430000,5.430000,1634700
2024-02-16,5.430000,5.580000,5.380000,5.460000,5.460000,1465100
2024-02-20,5.450000,5.450000,5.150000,5.210000,5.210000,1434600
